booking_id,booking_date,checkin_date,checkout_date,hotel_id,room_nights_booked,booking_status,booking_channel,base_price,discount_amount,final_price_paid
1,2024-06-01,2024-06-01,2024-06-02,1,61,Completed,App,6974.19,1102.43,5871.76
2,2024-06-02,2024-06-02,2024-06-04,1,73,Completed,App,6643.96,1039.78,5604.18
3,2024-06-03,2024-06-03,2024-06-04,1,62,Cancelled,App,5373.43,545.18,4828.25
4,2024-06-04,2024-06-04,2024-06-06,1,70,Completed,App,5823.83,790.31,5033.52
5,2024-06-05,2024-06-05,2024-06-06,1,65,Cancelled,OTA Partner,4545.42,808.13,3737.3
6,2024-06-06,2024-06-06,2024-06-08,1,52,Completed,App,5262.04,579.62,4682.42
7,2024-06-07,2024-06-07,2024-06-10,1,68,Completed,App,6961.31,741.98,6219.32
8,2024-06-08,2024-06-08,2024-06-09,1,79,Completed,Web,7440.14,934.32,6505.83
9,2024-06-09,2024-06-09,2024-06-11,1,67,Completed,App,7007.93,863.44,6144.49
10,2024-06-10,2024-06-10,2024-06-11,1,63,Completed,App,5487.98,620.07,4867.92
11,2024-06-11,2024-06-11,2024-06-12,1,49,Completed,App,5193.74,722.41,4471.33
12,2024-06-12,2024-06-12,2024-06-14,1,80,Cancelled,OTA Partner,5473.32,632.98,4840.34
13,2024-06-13,2024-06-13,2024-06-16,1,60,Completed,App,4543.22,738.86,3804.36
14,2024-06-14,2024-06-14,2024-06-16,1,61,Completed,App,6866.24,1048.47,5817.77
15,2024-06-15,2024-06-15,2024-06-18,1,65,Completed,Web,7217.47,806.29,6411.18
16,2024-06-16,2024-06-16,2024-06-19,1,66,Completed,App,5415.99,668.93,4747.06
17,2024-06-17,2024-06-17,2024-06-18,1,72,Completed,OTA Partner,5131.86,494.28,4637.58
18,2024-06-18,2024-06-18,2024-06-19,1,48,Completed,App,4745.52,774.05,3971.47
19,2024-06-19,2024-06-19,2024-06-20,1,53,Completed,OTA Partner,6054.81,514.97,5539.84
20,2024-06-20,2024-06-20,2024-06-22,1,51,Completed,App,5662.23,566.1,5096.14
21,2024-06-21,2024-06-21,2024-06-22,1,77,Cancelled,App,7499.05,898.07,6600.98
22,2024-06-22,2024-06-22,2024-06-23,1,71,Completed,OTA Partner,5368.67,506.69,4861.98
23,2024-06-23,2024-06-23,2024-06-24,1,61,Completed,OTA Partner,7208.29,756.39,6451.9
24,2024-06-24,2024-06-24,2024-06-25,1,68,Completed,Web,5706.21,691.92,5014.29
25,2024-06-25,2024-06-25,2024-06-26,1,59,Completed,OTA Partner,4973.32,532.94,4440.38
