booking_id,hotel_id,commission_rate_pct,revenue_share_partner,revenue_share_platform
1,1,17.0,4873.56,998.2
2,1,17.0,4651.47,952.71
3,1,17.0,4828.25,0.0
4,1,17.0,4177.82,855.7
5,1,20.0,3737.3,0.0
6,1,17.0,3886.41,796.01
7,1,17.0,5162.04,1057.28
8,1,17.0,5399.84,1105.99
9,1,17.0,5099.93,1044.56
10,1,17.0,4040.37,827.55
11,1,17.0,3711.2,760.13
12,1,20.0,4840.34,0.0
13,1,17.0,3157.62,646.74
14,1,17.0,4828.75,989.02
15,1,17.0,5321.28,1089.9
16,1,17.0,3940.06,807.0
17,1,20.0,3710.06,927.52
18,1,17.0,3296.32,675.15
19,1,20.0,4431.87,1107.97
20,1,17.0,4229.8,866.34
21,1,17.0,6600.98,0.0
22,1,20.0,3889.58,972.4
23,1,20.0,5161.52,1290.38
24,1,17.0,4161.86,852.43
25,1,20.0,3552.3,888.08
26,1,17.0,3289.95,673.84
27,1,17.0,4161.4,0.0
28,1,17.0,5110.56,1046.74
29,1,17.0,3975.21,814.2
30,1,17.0,5027.94,1029.82
31,1,17.0,4434.62,908.29
32,1,17.0,4377.25,896.55
33,1,17.0,3488.43,714.5
34,1,17.0,4394.56,900.09
35,1,17.0,4006.1,820.53
36,1,20.0,6879.59,0.0
37,1,17.0,4757.18,974.36
38,1,20.0,4431.5,1107.87
39,1,20.0,4690.12,1172.53
40,1,17.0,3702.64,758.37
41,1,17.0,4063.76,832.34
42,1,17.0,3875.56,793.79
43,1,17.0,5397.02,1105.41
44,1,20.0,6935.54,0.0
45,1,17.0,5449.27,0.0
46,1,17.0,4797.11,0.0
47,1,20.0,4467.89,1116.97
48,1,17.0,3758.01,769.71
49,1,20.0,4379.43,1094.86
50,1,17.0,5089.48,1042.42
51,1,17.0,4507.0,923.12
52,1,17.0,3818.09,782.02
53,1,17.0,3332.49,682.56
54,1,17.0,4280.24,876.68
55,1,17.0,4606.35,943.47
56,1,20.0,4529.36,1132.34
57,1,17.0,5117.34,0.0
58,1,17.0,5698.04,0.0
59,1,17.0,4794.76,982.06
60,1,17.0,3894.44,797.66
61,1,17.0,5269.08,0.0
62,1,20.0,4175.09,0.0
63,1,17.0,4843.95,992.13
64,1,17.0,4512.94,924.34
65,1,17.0,4667.5,955.99
66,1,17.0,4045.01,828.5
67,1,17.0,4296.1,0.0
68,1,20.0,4569.9,1142.47
69,1,17.0,3966.13,812.34
70,1,17.0,5536.07,1133.89
71,1,17.0,5209.59,1067.02
72,1,17.0,4936.43,1011.08
73,1,17.0,3250.47,665.76
74,1,17.0,4585.43,939.18
75,1,20.0,3705.34,926.33
76,1,17.0,4215.02,863.32
77,1,17.0,4410.21,903.3
78,1,17.0,4873.84,998.26
79,1,20.0,4982.76,1245.69
80,1,20.0,4474.44,1118.61
81,1,17.0,4786.72,0.0
82,1,20.0,4008.28,0.0
83,1,17.0,4815.6,0.0
84,1,17.0,4647.58,0.0
85,1,17.0,5413.0,1108.69
86,1,17.0,6205.53,1271.01
87,1,17.0,5824.77,0.0
88,1,17.0,4394.34,900.04
89,1,17.0,3442.56,705.1
90,1,17.0,3597.11,736.76
91,1,17.0,4831.11,0.0
92,1,20.0,4238.66,1059.67
93,1,20.0,4749.4,1187.35
94,1,20.0,4610.56,0.0
95,1,17.0,3947.38,808.5
96,1,17.0,4017.73,822.91
97,1,17.0,3391.65,694.68
98,1,17.0,5098.42,1044.26
99,1,17.0,5433.34,1112.85
100,1,20.0,5061.65,1265.41
101,1,17.0,3939.03,806.79
102,1,17.0,4106.62,841.11
103,1,17.0,4034.49,826.34
104,1,17.0,4056.09,830.76
105,1,17.0,3840.64,786.64
106,1,17.0,6307.23,0.0
107,1,17.0,3974.31,814.01
108,1,17.0,3868.9,792.42
109,1,20.0,3466.18,866.55
110,1,17.0,4054.63,830.47
111,1,17.0,3810.37,780.44
112,1,17.0,5367.54,1099.37
113,1,17.0,4644.5,951.28
114,1,20.0,5424.46,1356.12
115,1,17.0,5076.89,0.0
116,1,17.0,3728.82,763.74
117,1,20.0,4845.98,0.0
118,1,17.0,4364.06,893.84
119,1,20.0,4498.9,1124.72
120,1,17.0,5984.43,0.0
121,1,17.0,5893.26,0.0
122,1,17.0,3950.39,809.12
123,1,17.0,3695.64,756.94
124,1,17.0,3431.27,702.79
125,1,20.0,3704.45,926.11
126,1,17.0,4353.37,891.66
127,1,17.0,4328.12,886.48
128,1,20.0,5247.13,0.0
129,1,20.0,4892.21,0.0
130,1,20.0,3535.92,883.98
131,1,17.0,3780.08,774.23
132,1,17.0,3516.65,720.28
133,1,17.0,4371.66,895.4
134,1,17.0,4149.15,849.83
135,1,17.0,5339.07,1093.54
136,1,20.0,3508.58,877.15
137,1,17.0,4277.63,876.14
138,1,17.0,4969.59,0.0
139,1,20.0,3742.6,935.65
140,1,17.0,5121.84,1049.05
141,1,20.0,5447.32,0.0
142,1,17.0,3895.6,797.89
143,1,17.0,3387.78,693.88
144,1,17.0,4349.52,890.86
145,1,17.0,4580.99,938.28
146,1,20.0,3874.82,968.71
147,1,17.0,4499.79,921.64
148,1,17.0,4537.03,929.27
149,1,17.0,4833.44,0.0
150,1,20.0,4591.74,1147.94
151,1,20.0,4167.95,0.0
152,1,17.0,4584.49,938.99
153,1,20.0,4579.3,1144.82
154,1,17.0,6297.94,0.0
155,1,17.0,6008.81,0.0
156,1,17.0,5204.29,1065.94
157,1,17.0,3706.4,759.14
158,1,20.0,4271.02,1067.75
159,1,17.0,4570.34,0.0
160,1,17.0,3592.14,735.74
161,1,20.0,4083.27,1020.82
162,1,20.0,6561.55,0.0
163,1,17.0,5361.19,1098.07
164,1,17.0,3253.15,666.31
165,1,17.0,4039.46,0.0
166,1,20.0,3324.24,831.06
167,1,17.0,4431.43,907.64
168,1,17.0,4339.65,888.84
169,1,17.0,4574.77,937.0
170,1,17.0,4734.61,969.74
171,1,17.0,5101.42,0.0
172,1,17.0,5254.6,0.0
173,1,20.0,4113.7,1028.42
174,1,17.0,3460.31,708.74
175,1,17.0,4270.51,874.68
176,1,17.0,5229.37,1071.08
177,1,17.0,4659.59,954.37
178,1,17.0,4998.95,1023.88
179,1,17.0,3799.4,778.19
180,1,17.0,4593.65,940.87
181,1,20.0,3139.87,784.97
182,1,17.0,4076.03,834.85
183,1,17.0,5531.26,1132.91
184,1,17.0,6642.12,0.0
185,1,17.0,4757.43,974.41
186,1,17.0,3900.42,798.88
187,1,17.0,3229.04,661.37
188,1,17.0,3711.75,760.24
189,1,17.0,4820.98,987.43
190,1,20.0,4779.43,1194.86
191,1,17.0,5342.22,1094.19
192,1,20.0,4346.19,1086.55
193,1,17.0,4614.75,945.19
194,1,17.0,4653.44,953.12
195,1,17.0,4437.29,908.84
196,1,17.0,4929.57,1009.67
197,1,17.0,5331.9,1092.07
198,1,20.0,5844.11,0.0
199,1,20.0,4412.93,1103.23
200,1,17.0,4331.27,0.0
201,1,17.0,4373.7,895.82
202,1,20.0,3280.23,820.06
203,1,17.0,3991.45,817.53
204,1,17.0,5509.69,1128.49
205,1,17.0,6977.68,0.0
206,1,20.0,4159.89,1039.97
207,1,17.0,3572.38,731.69
208,1,20.0,5201.94,0.0
209,1,17.0,4094.95,838.72
210,1,17.0,5109.7,1046.57
211,1,17.0,5143.26,1053.44
212,1,20.0,5088.26,1272.06
213,1,17.0,4043.23,828.13
214,1,17.0,3269.37,669.63
215,1,17.0,4150.78,850.16
216,1,20.0,3404.02,851.0
217,1,20.0,4917.16,1229.29
218,1,17.0,4622.04,946.68
219,1,17.0,4805.43,0.0
220,1,17.0,4631.26,0.0
221,1,17.0,4652.54,952.93
222,1,17.0,3385.99,693.52
223,1,17.0,3900.8,798.96
224,1,17.0,4326.81,886.22
225,1,17.0,5753.68,1178.46
226,1,17.0,4708.47,964.39
227,1,20.0,6027.07,0.0
228,1,17.0,4528.75,927.57
229,1,17.0,4373.1,895.7
230,1,20.0,4039.26,1009.81
231,1,17.0,4284.54,877.56
232,1,17.0,4230.28,866.44
233,1,20.0,5564.42,1391.1
234,1,17.0,4728.57,0.0
235,1,17.0,3911.07,801.06
236,1,20.0,3816.18,954.04
237,1,20.0,4243.14,1060.78
238,1,20.0,5976.72,0.0
239,1,17.0,4840.61,991.45
240,1,17.0,5218.16,0.0
241,1,17.0,3503.82,717.65
242,1,17.0,4386.56,898.45
243,1,17.0,3618.39,741.12
244,1,17.0,4982.03,0.0
245,1,20.0,4921.27,1230.32
246,1,17.0,3668.75,751.43
247,1,17.0,4462.54,914.02
248,1,17.0,4094.41,0.0
249,1,17.0,4265.59,873.68
250,1,17.0,4539.92,929.86
251,1,20.0,4264.73,1066.18
252,1,17.0,5473.78,1121.14
253,1,17.0,4878.74,999.26
254,1,20.0,5106.93,1276.73
255,1,20.0,4247.39,1061.85
256,1,20.0,4568.56,0.0
257,1,17.0,4314.73,883.74
258,1,17.0,3245.52,664.74
259,1,17.0,5517.46,1130.08
260,1,17.0,4242.57,868.96
261,1,17.0,4559.46,933.86
262,1,17.0,3877.74,794.23
263,1,17.0,4409.34,903.12
264,1,20.0,3688.81,922.2
265,1,17.0,4776.58,978.33
266,1,20.0,3791.6,947.9
267,1,17.0,4982.56,1020.53
268,1,17.0,5123.86,1049.46
269,1,17.0,4913.36,1006.35
270,1,17.0,5246.73,0.0
271,1,17.0,4127.9,0.0
272,1,17.0,4628.06,947.91
273,1,17.0,4328.87,886.64
274,2,14.000000000000002,4356.05,709.12
275,2,14.000000000000002,4835.85,787.23
276,2,17.0,3856.45,789.87
277,2,14.000000000000002,3437.67,559.62
278,2,17.0,3070.75,628.95
279,2,17.0,5303.24,0.0
280,2,14.000000000000002,5353.92,871.57
281,2,14.000000000000002,5748.21,935.75
282,2,14.000000000000002,5860.56,954.05
283,2,17.0,4380.4,897.19
284,2,14.000000000000002,4165.86,678.16
285,2,14.000000000000002,3478.18,566.22
286,2,14.000000000000002,4731.97,770.32
287,2,14.000000000000002,4088.75,665.61
288,2,14.000000000000002,4561.65,742.6
289,2,14.000000000000002,5089.02,0.0
290,2,14.000000000000002,3817.11,621.39
291,2,17.0,4811.77,985.54
292,2,14.000000000000002,4839.18,0.0
293,2,17.0,4420.11,905.32
294,2,17.0,5464.74,0.0
295,2,14.000000000000002,5956.95,969.74
296,2,14.000000000000002,7216.41,0.0
297,2,14.000000000000002,3986.68,649.0
298,2,14.000000000000002,4106.22,668.45
299,2,14.000000000000002,4203.23,684.25
300,2,14.000000000000002,4016.07,0.0
301,2,14.000000000000002,6432.96,1047.23
302,2,14.000000000000002,4290.02,698.38
303,2,14.000000000000002,4452.74,724.86
304,2,14.000000000000002,3535.59,575.56
305,2,17.0,4217.43,863.81
306,2,17.0,3997.7,818.81
307,2,17.0,4159.01,851.84
308,2,17.0,4474.4,916.44
309,2,17.0,5191.88,1063.4
310,2,14.000000000000002,4805.11,782.23
311,2,14.000000000000002,3976.24,647.3
312,2,17.0,4756.35,974.19
313,2,14.000000000000002,3918.7,637.93
314,2,17.0,4767.39,0.0
315,2,14.000000000000002,4964.69,808.21
316,2,14.000000000000002,6587.46,0.0
317,2,17.0,4239.28,868.29
318,2,14.000000000000002,3968.15,645.98
319,2,14.000000000000002,5247.87,854.31
320,2,14.000000000000002,3524.05,573.68
321,2,17.0,4469.77,915.5
322,2,14.000000000000002,6600.84,0.0
323,2,17.0,5871.03,0.0
324,2,14.000000000000002,6030.48,0.0
325,2,14.000000000000002,4843.18,788.43
326,2,14.000000000000002,4864.86,791.95
327,2,14.000000000000002,3781.87,615.65
328,2,14.000000000000002,5009.25,0.0
329,2,14.000000000000002,5347.94,870.6
330,2,17.0,4720.5,966.85
331,2,14.000000000000002,5403.78,879.69
332,2,14.000000000000002,4579.51,745.5
333,2,14.000000000000002,4390.02,714.66
334,2,14.000000000000002,4160.1,677.22
335,2,14.000000000000002,3495.01,568.96
336,2,14.000000000000002,5183.39,0.0
337,2,14.000000000000002,6847.52,0.0
338,2,17.0,6317.33,0.0
339,2,14.000000000000002,4104.44,668.16
340,2,14.000000000000002,4844.9,788.71
341,2,14.000000000000002,3509.71,571.35
342,2,14.000000000000002,4828.32,786.0
343,2,14.000000000000002,4648.14,756.67
344,2,14.000000000000002,5099.46,830.14
345,2,14.000000000000002,4746.94,772.76
346,2,17.0,3946.92,808.41
347,2,14.000000000000002,3382.58,550.65
348,2,14.000000000000002,4815.78,783.96
349,2,14.000000000000002,5060.2,0.0
350,2,14.000000000000002,4104.62,668.19
351,2,14.000000000000002,5285.14,860.37
352,2,14.000000000000002,5338.24,869.02
353,2,14.000000000000002,4490.98,731.09
354,2,14.000000000000002,3801.48,618.85
355,2,17.0,3103.76,635.71
356,2,14.000000000000002,3990.25,649.58
357,2,14.000000000000002,5060.78,823.85
358,2,14.000000000000002,4210.82,685.48
359,2,14.000000000000002,3788.22,616.69
360,2,14.000000000000002,4213.01,685.84
361,2,14.000000000000002,3983.55,648.48
362,2,17.0,3329.01,681.85
363,2,17.0,4023.14,824.02
364,2,14.000000000000002,4697.21,764.66
365,2,14.000000000000002,5404.98,0.0
366,2,14.000000000000002,5726.23,0.0
367,2,14.000000000000002,4864.23,791.85
368,2,14.000000000000002,4530.61,737.54
369,2,14.000000000000002,5039.7,0.0
370,2,14.000000000000002,5627.86,0.0
371,2,14.000000000000002,4690.0,763.49
372,2,17.0,5370.79,1100.04
373,2,14.000000000000002,4007.79,652.43
374,2,14.000000000000002,4765.88,0.0
375,2,14.000000000000002,5369.91,0.0
376,2,17.0,4034.84,0.0
377,2,14.000000000000002,4116.02,670.05
378,2,17.0,4223.78,865.11
379,2,14.000000000000002,5945.25,0.0
380,2,14.000000000000002,5518.79,898.41
381,2,14.000000000000002,4697.63,764.73
382,2,14.000000000000002,5557.41,0.0
383,2,14.000000000000002,4156.47,676.63
384,2,17.0,5810.06,0.0
385,2,14.000000000000002,4080.1,664.2
386,2,14.000000000000002,4938.59,803.96
387,2,14.000000000000002,5511.88,897.28
388,2,17.0,5106.43,1045.9
389,2,14.000000000000002,5096.59,829.68
390,2,14.000000000000002,4100.89,667.59
391,2,14.000000000000002,3506.86,570.88
392,2,17.0,4763.92,975.74
393,2,17.0,4507.27,923.18
394,2,14.000000000000002,5070.8,825.48
395,2,14.000000000000002,4330.82,705.02
396,2,14.000000000000002,4161.83,677.51
397,2,17.0,4928.14,1009.38
398,2,14.000000000000002,4171.89,679.14
399,2,14.000000000000002,5998.01,976.42
400,2,14.000000000000002,6223.71,0.0
401,2,14.000000000000002,3910.09,636.53
402,2,14.000000000000002,3344.04,544.38
403,2,14.000000000000002,3455.77,562.57
404,2,14.000000000000002,3480.84,566.65
405,2,17.0,4639.0,950.16
406,2,14.000000000000002,5671.42,923.25
407,2,14.000000000000002,6299.35,1025.47
408,2,14.000000000000002,5301.05,862.96
409,2,17.0,4470.5,915.64
410,2,14.000000000000002,3430.69,558.48
411,2,17.0,3361.44,688.49
412,2,14.000000000000002,4684.49,762.59
413,2,14.000000000000002,5864.99,954.77
414,2,14.000000000000002,4079.34,664.08
415,2,14.000000000000002,5545.22,902.71
416,2,17.0,3461.03,708.89
417,2,14.000000000000002,3911.23,636.71
418,2,14.000000000000002,4650.34,757.03
419,2,14.000000000000002,3850.24,626.78
